Gene ID	Gene Name	Design Element	g1_g2.p-value	g1_g2.t-statistic	g1_g2.log2foldchange
MIMAT0000436	MIMAT0000436	A_25_P00010627	0.159589798535837	2.32238883830636	0.787922964603599
MIMAT0000437	MIMAT0000437	A_25_P00010109	0.09282188685207	2.7511760745587	0.877069848641455
MIMAT0000437	MIMAT0000437	A_25_P00010110	0.0894025444906316	2.80594656840513	0.831975689484297
MIMAT0000438	MIMAT0000438	A_25_P00010549	0.431144216183267	1.30736124155457	0.162582715975284
MIMAT0000438	MIMAT0000438	A_25_P00010550	0.546385007103315	0.961492307859915	0.11244355708245
MIMAT0000439	MIMAT0000439	A_25_P00010988	NA	4.79517802879412	0.0569412743255944
MIMAT0000440	MIMAT0000440	A_25_P00010392	0.711699075138052	-0.607845002849102	-0.0600553698924591
MIMAT0000440	MIMAT0000440	A_25_P00010393	0.736787713471923	-0.554538533424517	-0.108437418489371
MIMAT0000440	MIMAT0000440	A_25_P00010394	0.967778488851725	-0.0894356703256881	-0.0211039182620389
MIMAT0000441	MIMAT0000441	A_25_P00011001	0.706600568751907	0.617849126517679	0.0342832787586405
MIMAT0000441	MIMAT0000441	A_25_P00011002	0.466021028674648	1.22766590898164	0.047654222122798
MIMAT0000441	MIMAT0000441	A_25_P00011003	NA	0.373269324085004	0.00935814635993726
MIMAT0000442	MIMAT0000442	A_25_P00010315	0.333176899924182	1.61742389845296	0.150798008257442
MIMAT0000442	MIMAT0000442	A_25_P00010316	0.635077497844921	0.770255417949656	0.0506077669052782
MIMAT0000442	MIMAT0000442	A_25_P00010317	0.589349957741098	0.867503685263662	0.0665121725030637
MIMAT0000442	MIMAT0000442	A_25_P00010318	0.728076383027013	0.577880108173318	0.046269278209242
MIMAT0000443	MIMAT0000443	A_25_P00010480	0.876966037386404	0.277239616478944	0.10779190644373
MIMAT0000443	MIMAT0000443	A_25_P00010481	0.978210304913813	0.055560919840873	0.021880290980647
MIMAT0000444	MIMAT0000444	A_25_P00010600	0.970368951273193	0.0827779916516855	0.0291566657776929
MIMAT0000445	MIMAT0000445	A_25_P00010767	0.287779592172512	1.77762508276353	0.470407083605652
MIMAT0000445	MIMAT0000445	A_25_P00010768	0.269659421607993	1.85300815877876	0.523199409091237
MIMAT0000446	MIMAT0000446	A_25_P00010381	0.575168147801488	-0.910423987106302	-0.172667161515148
MIMAT0000446	MIMAT0000446	A_25_P00010382	0.63320000391343	-0.778431337509097	-0.304900724570677
MIMAT0000447	MIMAT0000447	A_25_P00010569	0.92999399462018	0.163611930566328	0.0303563598957277
MIMAT0000447	MIMAT0000447	A_25_P00010570	0.895539086273401	-0.240155400109617	-0.0254928228874531
MIMAT0000448	MIMAT0000448	A_25_P00011017	0.018295327801946	-4.15604135783506	-0.680613981205219
MIMAT0000448	MIMAT0000448	A_25_P00011018	0.0285720490049024	-3.68775482063044	-1.10096676308324
MIMAT0000449	MIMAT0000449	A_25_P00010078	0.0022527138479248	-6.11198382046531	-1.09688388555599
MIMAT0000449	MIMAT0000449	A_25_P00010079	0.00396649049746904	-5.35889657734241	-0.86270190282082
MIMAT0000450	MIMAT0000450	A_25_P00010849	0.565041665820666	0.928772494501709	0.0387996404183344
MIMAT0000450	MIMAT0000450	A_25_P00010850	NA	-0.299795439141942	-0.00717257123029391
MIMAT0000451	MIMAT0000451	A_25_P00010489	0.0415626878243435	-3.42914792105227	-1.44215632547793
MIMAT0000451	MIMAT0000451	A_25_P00010490	0.0565284179569214	-3.15947362273599	-1.41157564312549
MIMAT0000452	MIMAT0000452	A_25_P00010583	0.343144495175941	-1.58570471387477	-0.387107176062957
MIMAT0000452	MIMAT0000452	A_25_P00010584	0.157511510063452	-2.33891013175547	-0.140804136301219
MIMAT0000453	MIMAT0000453	A_25_P00010115	0.29879950809029	-1.73581179058747	-0.181698505850303
MIMAT0000453	MIMAT0000453	A_25_P00010116	0.381527951945853	-1.46190644470888	-0.173968750062807
MIMAT0000454	MIMAT0000454	A_25_P00010236	0.160825594662078	2.29388614791776	0.0798192178080681
MIMAT0000454	MIMAT0000454	A_25_P00010237	0.281542135878022	1.80899659896657	0.0567674513035055
MIMAT0000455	MIMAT0000455	A_25_P00010702	0.461941076696291	1.24448238541881	0.286173610725417
MIMAT0000455	MIMAT0000455	A_25_P00010703	0.742165508228499	0.541941968673829	0.147349514958867
MIMAT0000456	MIMAT0000456	A_25_P00010101	0.533378703841798	-1.01133927896432	-0.226520349035736
MIMAT0000456	MIMAT0000456	A_25_P00010102	0.160825594662078	-2.30017831236894	-0.370292326471578
MIMAT0000457	MIMAT0000457	A_25_P00010230	0.970368951273193	0.0798861962338633	0.0110003226544322
MIMAT0000457	MIMAT0000457	A_25_P00010231	0.991188723511139	0.0156705947976083	0.00199714216554625
MIMAT0000457	MIMAT0000457	A_25_P00010232	0.975513746316429	0.0633069128214289	0.00749834041310482
MIMAT0000458	MIMAT0000458	A_25_P00010239	0.0240803430066057	3.87073051329338	0.0951946085278124
MIMAT0000459	MIMAT0000459	A_25_P00010674	0.348154799000531	-1.56855032953851	-0.197470247515154
MIMAT0000459	MIMAT0000459	A_25_P00010675	0.332298890579439	-1.62421816727917	-0.133848240338579
MIMAT0000460	MIMAT0000460	A_25_P00011006	0.42161670787684	1.34754700032534	0.247607727209609
MIMAT0000460	MIMAT0000460	A_25_P00011007	0.418332547381266	1.35635883386513	0.347189390310764
MIMAT0000461	MIMAT0000461	A_25_P00010769	0.0738956959439139	2.96388344380855	0.383742010444923
MIMAT0000461	MIMAT0000461	A_25_P00010770	0.385403613743375	1.43345270978903	0.195203628513809
MIMAT0000462	MIMAT0000462	A_25_P00010527	0.586850533289921	-0.881381204817971	-0.17372995688166
MIMAT0000462	MIMAT0000462	A_25_P00010528	0.512300493552662	-1.08557831398907	-0.204771559683031
MIMAT0000462	MIMAT0000462	A_25_P00010529	0.589349957741098	-0.86604613916528	-0.171075863506764
MIMAT0000510	MIMAT0000510	A_25_P00011115	0.523328122207393	1.04960131671961	0.293407682448574
MIMAT0000510	MIMAT0000510	A_25_P00011116	0.38167273252443	1.45597636050368	0.399560137010571
MIMAT0000617	MIMAT0000617	A_25_P00010545	0.296893512103303	-1.74331287269142	-0.37124171899336
MIMAT0000617	MIMAT0000617	A_25_P00010546	0.310570165551146	-1.69094806590365	-0.280193029158228
MIMAT0000646	MIMAT0000646	A_25_P00010553	0.103380824393339	-2.65884005284817	-0.604670326444364
MIMAT0000646	MIMAT0000646	A_25_P00010554	0.102749059212546	-2.67218997949597	-0.590823772092968
MIMAT0000646	MIMAT0000646	A_25_P00010555	0.139013519150447	-2.43496907885297	-0.545762638127497
MIMAT0000680	MIMAT0000680	A_25_P00010433	0.595748535457824	0.853245338952181	0.217058566574611
MIMAT0000680	MIMAT0000680	A_25_P00010434	0.568385147190053	0.9231240110027	0.232564775002524
MIMAT0000681	MIMAT0000681	A_25_P00010238	0.204299188306845	-2.09083467410448	-0.731292615610478
MIMAT0000682	MIMAT0000682	A_25_P00010208	NA	1.10641581133702	0.0242976301427467
MIMAT0000682	MIMAT0000682	A_25_P00010209	0.459140007598585	-1.25146182151564	-0.0393852337929941
MIMAT0000683	MIMAT0000683	A_25_P00010024	NA	1.22142222630292	0.0256327891581085
MIMAT0000683	MIMAT0000683	A_25_P00010025	0.278370661765785	1.81941203134166	0.0941715845661211
MIMAT0000683	MIMAT0000683	A_25_P00010026	0.472279044294946	1.21051236209039	0.0334455114300738
MIMAT0000684	MIMAT0000684	A_25_P00010982	0.431144216183267	1.3070895400971	0.19904222635353
MIMAT0000684	MIMAT0000684	A_25_P00010983	NA	1.28665423861691	0.0302743132705769
MIMAT0000686	MIMAT0000686	A_25_P00010755	0.427519544487683	1.32834495187945	0.0800851488803884
MIMAT0000686	MIMAT0000686	A_25_P00010756	0.533378703841798	1.00545966303826	0.0546321273803896
MIMAT0000687	MIMAT0000687	A_25_P00010103	0.743978998322578	-0.535572372895945	-0.0236679346610851
MIMAT0000687	MIMAT0000687	A_25_P00010104	0.635077497844921	0.768089799556985	0.0268371320441014
MIMAT0000688	MIMAT0000688	A_25_P00010839	0.945353902742281	-0.13487227991834	-0.0218009565295718
MIMAT0000688	MIMAT0000688	A_25_P00010840	0.920457302708062	0.185137853570005	0.0197918701220834
MIMAT0000689	MIMAT0000689	A_25_P00010596	0.308336891694551	1.70072412482812	0.380000672148256
MIMAT0000689	MIMAT0000689	A_25_P00010597	0.269659421607993	1.85580598953366	0.581479764063364
MIMAT0000690	MIMAT0000690	A_25_P00010196	0.38441602328488	1.43663311246937	0.340647082244383
MIMAT0000690	MIMAT0000690	A_25_P00010197	0.472818356347322	-1.19997617148723	-0.0556754315313475
MIMAT0000691	MIMAT0000691	A_25_P00010437	0.164942411350273	2.27814287087214	0.288742309869754
MIMAT0000691	MIMAT0000691	A_25_P00010438	0.10554720293634	2.64509261438194	0.339360931195085
MIMAT0000692	MIMAT0000692	A_25_P00011013	0.802732250953444	-0.421341459234224	-0.114361596523633
MIMAT0000692	MIMAT0000692	A_25_P00011014	0.824035197960193	-0.378877560789175	-0.0980272422498745
MIMAT0000692	MIMAT0000692	A_25_P00011015	0.801822782314677	-0.42753823742813	-0.0586242919971101
MIMAT0000693	MIMAT0000693	A_25_P00010837	0.0244958524539967	-3.84427660013811	-0.499555715309506
MIMAT0000693	MIMAT0000693	A_25_P00010838	0.0240803430066057	-3.89230486332643	-0.431903684393473
MIMAT0000703	MIMAT0000703	A_25_P00010894	0.38441602328488	-1.43741110989133	-0.276393687382559
MIMAT0000703	MIMAT0000703	A_25_P00010895	0.509877841580877	-1.09547057711231	-0.234402188965912
MIMAT0000705	MIMAT0000705	A_25_P00010283	0.0557390479697225	3.17792464624351	0.607878476963289
